I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
,-0.019,,,,,,,,0.029,0.0,0.004
,-0.019,,,,,,,,0.029,0.0,0.004
,-0.02,,,,,,,,0.03,0.001,0.005
,-0.019,,,,,,,,0.029,0.0,0.004
,-0.018,,,,,,,,0.027,-0.002,0.002
,-0.016,,,,,,,,0.025,-0.004,0.0
,-0.013,,,,,,,,0.024,-0.005,0.0
,-0.012,,,,,,,,0.024,-0.005,0.0
,-0.01,,,,,,,,0.025,-0.004,0.0
,-0.008,,,,,,,,0.025,-0.004,0.0
,-0.006,,,,,,,,0.024,-0.005,0.0
,-0.004,,,,,,,,0.024,-0.005,0.0
,-0.002,,,,,,,,0.025,-0.004,0.0
,0.0,,,,,,,,0.024,-0.005,0.0
,0.001,,,,,,,,0.023,-0.006,0.0
,0.003,,,,,,,,0.021,-0.008,0.0
,0.005,,,,,,,,0.019,-0.01,0.0
,0.006,,,,,,,,0.019,-0.01,0.0
,0.005,,,,,,,,0.02,-0.009,0.0
,0.002,,,,,,,,0.02,-0.009,0.0
,-0.001,,,,,,,,0.019,-0.01,0.0
,-0.005,,,,,,,,0.019,-0.01,0.0
,-0.008,,,,,,,,0.019,-0.009,0.0
,-0.009,,,,,,,,0.019,-0.009,0.0
,-0.011,,,,,,,,0.02,-0.011,0.0
,-0.013,,,,,,,,0.02,-0.013,0.0
,-0.015,,,,,,,,0.019,-0.015,0.0
,-0.016,,,,,,,,0.018,-0.015,0.0
,-0.018,,,,,,,,0.016,-0.015,0.0
,-0.02,,,,,,,,0.014,-0.014,0.0
,-0.022,,,,,,,,0.013,-0.013,0.001
,-0.024,,,,,,,,0.014,-0.014,0.0
,-0.027,,,,,,,,0.015,-0.016,-0.001
,-0.029,,,,,,,,0.015,-0.018,-0.003
,-0.029,,,,,,,,0.014,-0.019,-0.004
,-0.025,,,,,,,,0.012,-0.02,-0.005
,-0.021,,,,,,,,0.01,-0.02,-0.005
,-0.017,,,,,,,,0.009,-0.02,-0.004
,-0.016,,,,,,,,0.009,-0.02,-0.004
,-0.015,,,,,,,,0.01,-0.019,-0.005
,-0.013,,,,,,,,0.01,-0.019,-0.005
,-0.011,,,,,,,,0.009,-0.019,-0.004
,-0.007,,,,,,,,0.009,-0.021,-0.004
,-0.003,,,,,,,,0.01,-0.023,-0.005
,0.0,,,,,,,,0.009,-0.024,-0.005
,0.002,,,,,,,,0.007,-0.025,-0.004
,0.003,,,,,,,,0.005,-0.024,-0.004
,0.006,,,,,,,,0.004,-0.025,-0.005
,0.009,,,,,,,,0.004,-0.025,-0.005
,0.01,,,,,,,,0.005,-0.024,-0.004
,0.008,,,,,,,,0.005,-0.024,-0.004
,0.006,,,,,,,,0.004,-0.024,-0.005
,0.004,,,,,,,,0.004,-0.025,-0.005
,0.005,,,,,,,,0.005,-0.027,-0.004
,0.005,,,,,,,,0.004,-0.029,-0.004
,0.003,,,,,,,,0.003,-0.03,-0.005
,0.001,,,,,,,,0.001,-0.03,-0.005
,0.0,,,,,,,,0.0,-0.029,-0.004
,0.0,,,,,,,,0.0,-0.029,-0.004
,0.0,,,,,,,,0.0,-0.029,-0.005
,-0.001,,,,,,,,0.0,-0.029,-0.005
,-0.003,,,,,,,,0.0,-0.03,-0.004
,-0.005,,,,,,,,0.0,-0.03,-0.004
,-0.006,,,,,,,,-0.002,-0.029,-0.005
,-0.005,,,,,,,,-0.004,-0.03,-0.005
,-0.004,,,,,,,,-0.005,-0.031,-0.004
,-0.004,,,,,,,,-0.005,-0.033,-0.004
,-0.005,,,,,,,,-0.004,-0.035,-0.004
,-0.006,,,,,,,,-0.005,-0.035,-0.005
,-0.008,,,,,,,,-0.005,-0.035,-0.005
,-0.009,,,,,,,,-0.004,-0.034,-0.004
,-0.01,,,,,,,,-0.003,-0.034,-0.004
,-0.01,,,,,,,,-0.004,-0.035,-0.005
,-0.011,,,,,,,,-0.006,-0.035,-0.005
,-0.013,,,,,,,,-0.008,-0.034,-0.004
,-0.014,,,,,,,,-0.009,-0.034,-0.004
,-0.014,,,,,,,,-0.01,-0.035,-0.005
,-0.014,,,,,,,,-0.01,-0.035,-0.005
,-0.016,,,,,,,,-0.009,-0.033,-0.004
,-0.018,,,,,,,,-0.009,-0.031,-0.004
,-0.019,,,,,,,,-0.01,-0.03,-0.005
,-0.02,,,,,,,,-0.01,-0.029,-0.005
,-0.019,,,,,,,,-0.01,-0.03,-0.004
,-0.019,,,,,,,,-0.008,-0.03,-0.004
,-0.02,,,,,,,,-0.006,-0.029,-0.005
,-0.019,,,,,,,,-0.005,-0.03,-0.005
,-0.017,,,,,,,,-0.004,-0.029,-0.004
,-0.015,,,,,,,,-0.004,-0.029,-0.004
,-0.014,,,,,,,,-0.004,-0.03,-0.005
,-0.014,,,,,,,,-0.004,-0.03,-0.005
,-0.015,,,,,,,,-0.005,-0.029,-0.004
,-0.015,,,,,,,,-0.005,-0.028,-0.004
,-0.014,,,,,,,,-0.004,-0.026,-0.005
,-0.014,,,,,,,,-0.004,-0.024,-0.005
,-0.015,,,,,,,,-0.005,-0.023,-0.004
,-0.015,,,,,,,,-0.005,-0.024,-0.004
,-0.014,,,,,,,,-0.004,-0.025,-0.005
,-0.014,,,,,,,,-0.004,-0.025,-0.005
,-0.015,,,,,,,,-0.005,-0.024,-0.004
,-0.015,,,,,,,,-0.005,-0.024,-0.004
,-0.014,,,,,,,,-0.004,-0.025,-0.005
,-0.014,,,,,,,,-0.004,-0.025,-0.005
,-0.015,,,,,,,,-0.005,-0.024,-0.004
,-0.015,,,,,,,,-0.005,-0.024,-0.004
,-0.014,,,,,,,,-0.004,-0.025,-0.005
,-0.014,,,,,,,,-0.004,-0.025,-0.005
,-0.015,,,,,,,,-0.005,-0.023,-0.004
,-0.015,,,,,,,,-0.005,-0.021,-0.004
,-0.015,,,,,,,,-0.005,-0.019,-0.005
,-0.014,,,,,,,,-0.005,-0.019,-0.005
,-0.014,,,,,,,,-0.005,-0.019,-0.004
,-0.015,,,,,,,,-0.004,-0.02,-0.005
,-0.016,,,,,,,,-0.002,-0.02,-0.005
,-0.015,,,,,,,,0.0,-0.019,-0.004
,-0.013,,,,,,,,0.0,-0.02,-0.004
,-0.011,,,,,,,,0.0,-0.019,-0.005
,-0.01,,,,,,,,0.0,-0.019,-0.005
,-0.009,,,,,,,,0.0,-0.02,-0.004
,-0.009,,,,,,,,0.0,-0.02,-0.004
,-0.01,,,,,,,,0.0,-0.018,-0.005
,-0.01,,,,,,,,0.0,-0.016,-0.005
,-0.009,,,,,,,,0.0,-0.015,-0.004
,-0.009,,,,,,,,0.0,-0.014,-0.004
,-0.01,,,,,,,,0.0,-0.015,-0.005
,-0.01,,,,,,,,0.0,-0.015,-0.005
,-0.009,,,,,,,,0.0,-0.014,-0.004
,-0.009,,,,,,,,0.0,-0.014,-0.004
,-0.01,,,,,,,,0.0,-0.015,-0.005
,-0.01,,,,,,,,0.0,-0.015,-0.005
,-0.009,,,,,,,,0.0,-0.014,-0.004
,-0.009,,,,,,,,0.0,-0.014,-0.004
,-0.01,,,,,,,,0.0,-0.015,-0.005
,-0.01,,,,,,,,0.0,-0.016,-0.005
,-0.009,,,,,,,,0.0,-0.015,-0.004
,-0.009,,,,,,,,0.0,-0.014,-0.004
,-0.01,,,,,,,,0.0,-0.012,-0.005
,-0.01,,,,,,,,0.0,-0.01,-0.005
,-0.009,,,,,,,,0.0,-0.009,-0.004
,-0.009,,,,,,,,0.0,-0.009,-0.004
,-0.01,,,,,,,,0.0,-0.01,-0.005
,-0.01,,,,,,,,0.0,-0.01,-0.005
,-0.009,,,,,,,,0.0,-0.009,-0.004
,-0.008,,,,,,,,0.0,-0.009,-0.004
,-0.006,,,,,,,,0.0,-0.01,-0.005
,-0.004,,,,,,,,0.0,-0.01,-0.005
,-0.001,,,,,,,,0.0,-0.009,-0.004
,0.0,,,,,,,,0.0,-0.009,-0.004
,0.0,,,,,,,,0.0,-0.01,-0.005
,0.0,,,,,,,,0.0,-0.01,-0.005
,0.0,,,,,,,,0.0,-0.009,-0.005
,0.001,,,,,,,,0.0,-0.009,-0.004
,0.003,,,,,,,,0.0,-0.009,-0.004
,0.005,,,,,,,,0.0,-0.01,-0.005
,0.005,,,,,,,,0.0,-0.01,-0.005
,0.004,,,,,,,,0.0,-0.009,-0.004
,0.005,,,,,,,,0.0,-0.009,-0.004
,0.007,,,,,,,,0.0,-0.01,-0.005
,0.01,,,,,,,,0.0,-0.01,-0.005
,0.013,,,,,,,,0.0,-0.009,-0.004
,0.014,,,,,,,,0.0,-0.009,-0.004
,0.015,,,,,,,,0.0,-0.01,-0.005
,0.014,,,,,,,,0.0,-0.01,-0.005
,0.015,,,,,,,,0.0,-0.009,-0.004
,0.017,,,,,,,,0.0,-0.009,-0.004
,0.019,,,,,,,,0.0,-0.01,-0.005
,0.02,,,,,,,,0.0,-0.009,-0.005
,0.02,,,,,,,,0.0,-0.01,-0.004
,0.019,,,,,,,,0.0,-0.01,-0.004
,0.017,,,,,,,,0.0,-0.009,-0.005
,0.015,,,,,,,,0.0,-0.009,-0.005
,0.014,,,,,,,,0.0,-0.01,-0.004
,0.014,,,,,,,,0.0,-0.01,-0.004
,0.015,,,,,,,,0.0,-0.009,-0.005
,0.015,,,,,,,,0.0,-0.009,-0.006
,0.014,,,,,,,,0.0,-0.01,-0.008
,0.014,,,,,,,,0.0,-0.01,-0.009
,0.015,,,,,,,,0.0,-0.009,-0.01
,0.015,,,,,,,,0.0,-0.009,-0.01
,0.014,,,,,,,,0.0,-0.01,-0.011
,0.014,,,,,,,,0.0,-0.01,-0.013
,0.015,,,,,,,,0.0,-0.009,-0.015
,0.015,,,,,,,,0.0,-0.009,-0.016
,0.014,,,,,,,,0.0,-0.01,-0.015
,0.014,,,,,,,,0.0,-0.01,-0.013
,0.015,,,,,,,,0.0,-0.009,-0.011
,0.015,,,,,,,,0.0,-0.009,-0.01
,0.014,,,,,,,,0.0,-0.01,-0.009
,0.014,,,,,,,,0.0,-0.01,-0.009
,0.015,,,,,,,,0.0,-0.009,-0.01
,0.015,,,,,,,,0.0,-0.009,-0.009
,0.015,,,,,,,,0.0,-0.009,-0.009
,0.014,,,,,,,,0.0,-0.011,-0.01
,0.014,,,,,,,,0.0,-0.013,-0.01
,0.015,,,,,,,,0.0,-0.015,-0.009
,0.015,,,,,,,,-0.001,-0.015,-0.009
,0.014,,,,,,,,0.0,-0.014,-0.01
,0.014,,,,,,,,0.001,-0.014,-0.01
,0.015,,,,,,,,0.003,-0.015,-0.009
,0.015,,,,,,,,0.004,-0.015,-0.009
,0.014,,,,,,,,0.005,-0.014,-0.01
,0.014,,,,,,,,0.005,-0.014,-0.01
,0.015,,,,,,,,0.004,-0.015,-0.009
,0.015,,,,,,,,0.004,-0.015,-0.009
,0.014,,,,,,,,0.005,-0.014,-0.01
,0.014,,,,,,,,0.005,-0.014,-0.01
,0.015,,,,,,,,0.004,-0.015,-0.009
,0.015,,,,,,,,0.004,-0.015,-0.009
,0.014,,,,,,,,0.005,-0.014,-0.01
,0.014,,,,,,,,0.005,-0.014,-0.01
,0.015,,,,,,,,0.004,-0.015,-0.009
,0.015,,,,,,,,0.004,-0.015,-0.009
,0.014,,,,,,,,0.005,-0.014,-0.01
,0.014,,,,,,,,0.004,-0.014,-0.01
,0.015,,,,,,,,0.005,-0.015,-0.009
,0.015,,,,,,,,0.006,-0.015,-0.01
,0.014,,,,,,,,0.008,-0.014,-0.009
,0.014,,,,,,,,0.01,-0.014,-0.009
,0.015,,,,,,,,0.01,-0.015,-0.01
,0.015,,,,,,,,0.01,-0.015,-0.01
,0.014,,,,,,,,0.009,-0.014,-0.009
,0.014,,,,,,,,0.009,-0.014,-0.009
,0.015,,,,,,,,0.009,-0.015,-0.01
,0.015,,,,,,,,0.009,-0.015,-0.01
,0.014,,,,,,,,0.01,-0.014,-0.009
,0.013,,,,,,,,0.01,-0.014,-0.009
,0.011,,,,,,,,0.009,-0.015,-0.01
,0.009,,,,,,,,0.009,-0.015,-0.01
,0.008,,,,,,,,0.01,-0.014,-0.009
,0.009,,,,,,,,0.01,-0.014,-0.009
,0.01,,,,,,,,0.009,-0.015,-0.01
,0.01,,,,,,,,0.009,-0.015,-0.01
,0.009,,,,,,,,0.01,-0.014,-0.009
,0.009,,,,,,,,0.011,-0.014,-0.009
,0.009,,,,,,,,0.013,-0.014,-0.009
,0.01,,,,,,,,0.014,-0.015,-0.01
,0.011,,,,,,,,0.015,-0.015,-0.01
,0.01,,,,,,,,0.014,-0.014,-0.009
,0.008,,,,,,,,0.014,-0.014,-0.009
,0.006,,,,,,,,0.015,-0.014,-0.01
,0.005,,,,,,,,0.015,-0.014,-0.01
,0.004,,,,,,,,0.015,-0.015,-0.009
,0.004,,,,,,,,0.015,-0.015,-0.009
,0.005,,,,,,,,0.014,-0.014,-0.01
,0.005,,,,,,,,0.014,-0.014,-0.01
,0.004,,,,,,,,0.015,-0.015,-0.009
,0.004,,,,,,,,0.015,-0.015,-0.009
,0.005,,,,,,,,0.014,-0.015,-0.01
,0.005,,,,,,,,0.014,-0.013,-0.01
,0.004,,,,,,,,0.015,-0.011,-0.009
,0.004,,,,,,,,0.015,-0.01,-0.009
,0.005,,,,,,,,0.014,-0.009,-0.01
,0.005,,,,,,,,0.014,-0.01,-0.01
,0.004,,,,,,,,0.015,-0.009,-0.009
,0.002,,,,,,,,0.017,-0.009,-0.009
,0.0,,,,,,,,0.019,-0.01,-0.01
,0.0,,,,,,,,0.02,-0.01,-0.01
,0.0,,,,,,,,0.019,-0.01,-0.009
,0.0,,,,,,,,0.019,-0.009,-0.009
,0.0,,,,,,,,0.02,-0.007,-0.01
,0.0,,,,,,,,0.02,-0.005,-0.01
,0.0,,,,,,,,0.019,-0.004,-0.009
,0.0,,,,,,,,0.019,-0.004,-0.009
,0.0,,,,,,,,0.02,-0.004,-0.01
,0.0,,,,,,,,0.02,-0.004,-0.01
,0.0,,,,,,,,0.019,-0.005,-0.009
,-0.001,,,,,,,,0.02,-0.005,-0.009
,-0.003,,,,,,,,0.019,-0.005,-0.01
,-0.005,,,,,,,,0.019,-0.004,-0.01
,-0.006,,,,,,,,0.02,-0.002,-0.009
,-0.005,,,,,,,,0.02,0.0,-0.009
,-0.004,,,,,,,,0.019,0.0,-0.01
,-0.004,,,,,,,,0.019,0.0,-0.01
,-0.005,,,,,,,,0.02,0.0,-0.009
,-0.004,,,,,,,,0.02,0.0,-0.009
,-0.004,,,,,,,,0.02,0.0,-0.009
,-0.005,,,,,,,,0.019,0.0,-0.01
,-0.005,,,,,,,,0.019,0.0,-0.01
,-0.004,,,,,,,,0.02,0.0,-0.009
,-0.004,,,,,,,,0.02,0.0,-0.009
,-0.005,,,,,,,,0.019,0.0,-0.01
,-0.004,,,,,,,,0.02,0.0,-0.01
,-0.002,,,,,,,,0.022,0.002,-0.009
,0.0,,,,,,,,0.024,0.004,-0.009
,0.0,,,,,,,,0.025,0.005,-0.01
,0.0,,,,,,,,0.025,0.005,-0.01
,0.0,,,,,,,,0.024,0.004,-0.009
,0.002,,,,,,,,0.024,0.004,-0.009
,0.004,,,,,,,,0.025,0.005,-0.01
,0.005,,,,,,,,0.025,0.005,-0.01
,0.005,,,,,,,,0.024,0.004,-0.009
,0.005,,,,,,,,0.024,0.005,-0.009
,0.004,,,,,,,,0.025,0.007,-0.01
,0.004,,,,,,,,0.025,0.009,-0.01
,0.005,,,,,,,,0.024,0.01,-0.009
,0.007,,,,,,,,0.024,0.01,-0.009
,0.009,,,,,,,,0.025,0.009,-0.01
,0.01,,,,,,,,0.024,0.009,-0.011
,0.01,,,,,,,,0.025,0.01,-0.013
,0.01,,,,,,,,0.025,0.01,-0.015
,0.012,,,,,,,,0.024,0.009,-0.016
,0.014,,,,,,,,0.024,0.01,-0.015
,0.015,,,,,,,,0.025,0.009,-0.014
,0.015,,,,,,,,0.025,0.009,-0.014
,0.015,,,,,,,,0.024,0.01,-0.015
,0.015,,,,,,,,0.024,0.011,-0.015
,0.014,,,,,,,,0.025,0.014,-0.014
,0.013,,,,,,,,0.025,0.016,-0.014
,0.011,,,,,,,,0.025,0.015,-0.015
,0.009,,,,,,,,0.024,0.014,-0.015
,0.008,,,,,,,,0.022,0.013,-0.014
,0.009,,,,,,,,0.02,0.014,-0.014
,0.01,,,,,,,,0.019,0.016,-0.015
,0.01,,,,,,,,0.019,0.018,-0.015
,0.01,,,,,,,,0.019,0.019,-0.014
,0.009,,,,,,,,0.02,0.02,-0.014
,0.009,,,,,,,,0.02,0.02,-0.014
,0.01,,,,,,,,0.019,0.019,-0.015
,0.01,,,,,,,,0.019,0.018,-0.015
,0.009,,,,,,,,0.02,0.019,-0.014
,0.009,,,,,,,,0.02,0.021,-0.014
,0.01,,,,,,,,0.019,0.023,-0.015
,0.01,,,,,,,,0.019,0.024,-0.015
,0.009,,,,,,,,0.02,0.025,-0.014
,0.009,,,,,,,,0.02,0.025,-0.014
,0.009,,,,,,,,0.018,0.024,-0.015
,0.009,,,,,,,,0.016,0.024,-0.015
,0.01,,,,,,,,0.015,0.025,-0.014
,0.01,,,,,,,,0.014,0.027,-0.014
,0.01,,,,,,,,0.015,0.029,-0.015
,0.008,,,,,,,,0.015,0.03,-0.015
,0.006,,,,,,,,0.014,0.031,-0.014
,0.005,,,,,,,,0.014,0.03,-0.014
,0.004,,,,,,,,0.015,0.029,-0.015
,0.005,,,,,,,,0.015,0.029,-0.015
,0.004,,,,,,,,0.014,0.03,-0.014
,0.004,,,,,,,,0.014,0.032,-0.014
,0.005,,,,,,,,0.015,0.034,-0.015
,0.005,,,,,,,,0.015,0.035,-0.015
,0.004,,,,,,,,0.015,0.035,-0.014
,0.004,,,,,,,,0.014,0.034,-0.015
,0.005,,,,,,,,0.012,0.033,-0.014
,0.005,,,,,,,,0.01,0.034,-0.014
,0.004,,,,,,,,0.009,0.036,-0.015
,0.004,,,,,,,,0.009,0.038,-0.015
,0.005,,,,,,,,0.009,0.04,-0.014
,0.005,,,,,,,,0.009,0.04,-0.014
,0.004,,,,,,,,0.01,0.039,-0.015
,0.004,,,,,,,,0.01,0.039,-0.015
,0.005,,,,,,,,0.009,0.039,-0.014
,0.005,,,,,,,,0.009,0.04,-0.014
,0.004,,,,,,,,0.01,0.042,-0.015
,0.005,,,,,,,,0.01,0.044,-0.014
,0.006,,,,,,,,0.009,0.045,-0.013
,0.007,,,,,,,,0.009,0.045,-0.011
,0.009,,,,,,,,0.009,0.045,-0.01
,0.011,,,,,,,,0.013,0.045,-0.009
,0.013,,,,,,,,0.017,0.045,-0.009
,0.015,,,,,,,,0.021,0.044,-0.009
,0.017,,,,,,,,0.023,0.044,-0.007
,0.019,,,,,,,,0.025,0.045,-0.005
,0.021,,,,,,,,0.026,0.046,-0.004
,0.023,,,,,,,,0.028,0.048,-0.005
,0.025,,,,,,,,0.03,0.05,-0.004
,0.027,,,,,,,,0.032,0.052,-0.002
,0.029,,,,,,,,0.034,0.054,0.0
,0.03,,,,,,,,0.036,0.056,0.0
,0.032,,,,,,,,0.038,0.058,0.0
,0.035,,,,,,,,0.04,0.059,0.0
,0.04,,,,,,,,0.042,0.06,0.002
,0.044,,,,,,,,0.044,0.059,0.004
,0.045,,,,,,,,0.046,0.059,0.004
,0.046,,,,,,,,0.048,0.06,0.004
,0.049,,,,,,,,0.049,0.059,0.005
,0.057,,,,,,,,0.05,0.058,0.007
,0.066,,,,,,,,0.052,0.058,0.009
,0.072,,,,,,,,0.058,0.062,0.01
,0.074,,,,,,,,0.066,0.068,0.01
,0.074,,,,,,,,0.074,0.074,0.01
,0.074,,,,,,,,0.078,0.077,0.011
,0.074,,,,,,,,0.08,0.079,0.013
,0.075,,,,,,,,0.08,0.079,0.016
,0.077,,,,,,,,0.079,0.079,0.017
,0.079,,,,,,,,0.08,0.079,0.019
,0.079,,,,,,,,0.081,0.08,0.021
,0.079,,,,,,,,0.083,0.08,0.023
,0.08,,,,,,,,0.085,0.079,0.025
,0.082,,,,,,,,0.085,0.078,0.027
,0.084,,,,,,,,0.084,0.079,0.029
,0.086,,,,,,,,0.085,0.082,0.032
,0.088,,,,,,,,0.087,0.086,0.034
,0.09,,,,,,,,0.09,0.09,0.034
,0.092,,,,,,,,0.093,0.093,0.035
,0.093,,,,,,,,0.094,0.094,0.035
,0.096,,,,,,,,0.093,0.096,0.036
,0.097,,,,,,,,0.091,0.098,0.037
,0.095,,,,,,,,0.089,0.099,0.04
,0.088,,,,,,,,0.089,0.1,0.042
,0.084,,,,,,,,0.089,0.1,0.043
,0.088,,,,,,,,0.09,0.099,0.045
,0.1,,,,,,,,0.09,0.099,0.047
,0.112,,,,,,,,0.089,0.1,0.049
,0.119,,,,,,,,0.089,0.1,0.049
,0.12,,,,,,,,0.09,0.099,0.049
,0.12,,,,,,,,0.09,0.099,0.049
,0.119,,,,,,,,0.089,0.1,0.05
,0.119,,,,,,,,0.089,0.1,0.05
,0.12,,,,,,,,0.09,0.099,0.049
,0.12,,,,,,,,0.09,0.099,0.049
,0.119,,,,,,,,0.089,0.1,0.05
,0.119,,,,,,,,0.087,0.1,0.05
,0.12,,,,,,,,0.085,0.099,0.049
,0.12,,,,,,,,0.084,0.099,0.049
,0.119,,,,,,,,0.083,0.1,0.05
,0.119,,,,,,,,0.084,0.1,0.05
,0.12,,,,,,,,0.085,0.099,0.051
,0.12,,,,,,,,0.085,0.099,0.053
,0.119,,,,,,,,0.084,0.099,0.056
,0.117,,,,,,,,0.084,0.099,0.058
,0.115,,,,,,,,0.085,0.1,0.059
,0.113,,,,,,,,0.085,0.101,0.062
,0.114,,,,,,,,0.084,0.103,0.064
,0.115,,,,,,,,0.084,0.105,0.065
,0.116,,,,,,,,0.085,0.106,0.063
,0.115,,,,,,,,0.084,0.109,0.064
,0.113,,,,,,,,0.083,0.114,0.07
,0.111,,,,,,,,0.081,0.121,0.079
,0.109,,,,,,,,0.079,0.125,0.085
,0.109,,,,,,,,0.079,0.124,0.085
,0.11,,,,,,,,0.08,0.121,0.081
,0.11,,,,,,,,0.08,0.117,0.077
,0.11,,,,,,,,0.079,0.115,0.075
,0.109,,,,,,,,0.079,0.115,0.074
,0.107,,,,,,,,0.08,0.114,0.072
,0.105,,,,,,,,0.08,0.114,0.07
,0.104,,,,,,,,0.079,0.113,0.068
,0.105,,,,,,,,0.079,0.112,0.067
,0.105,,,,,,,,0.079,0.11,0.065
,0.104,,,,,,,,0.08,0.107,0.062
,0.103,,,,,,,,0.081,0.105,0.061
,0.105,,,,,,,,0.079,0.105,0.059
,0.107,,,,,,,,0.075,0.105,0.058
,0.105,,,,,,,,0.07,0.105,0.055
,0.095,,,,,,,,0.065,0.1,0.05
,0.081,,,,,,,,0.061,0.094,0.044
,0.064,,,,,,,,0.059,0.088,0.038
,0.051,,,,,,,,0.057,0.083,0.033
,0.041,,,,,,,,0.055,0.08,0.03
,0.035,,,,,,,,0.052,0.077,0.027
,0.031,,,,,,,,0.048,0.073,0.023
,0.029,,,,,,,,0.043,0.069,0.019
,0.028,,,,,,,,0.039,0.065,0.015
,0.026,,,,,,,,0.035,0.061,0.011
,0.022,,,,,,,,0.033,0.057,0.007
,0.018,,,,,,,,0.031,0.053,0.003
,0.014,,,,,,,,0.029,0.049,0.0
,0.013,,,,,,,,0.027,0.045,-0.004
,0.011,,,,,,,,0.025,0.041,-0.008
,0.008,,,,,,,,0.024,0.038,-0.011
,0.004,,,,,,,,0.024,0.036,-0.013
,0.0,,,,,,,,0.025,0.035,-0.014
,-0.001,,,,,,,,0.026,0.035,-0.014
,-0.003,,,,,,,,0.025,0.035,-0.014
,-0.006,,,,,,,,0.024,0.035,-0.014
,-0.01,,,,,,,,0.022,0.036,-0.013
,-0.013,,,,,,,,0.02,0.035,-0.014
,-0.016,,,,,,,,0.019,0.033,-0.016
,-0.018,,,,,,,,0.019,0.031,-0.018
,-0.02,,,,,,,,0.019,0.029,-0.02
,-0.022,,,,,,,,0.019,0.029,-0.02
,-0.024,,,,,,,,0.02,0.03,-0.019
,-0.026,,,,,,,,0.02,0.03,-0.019
,-0.028,,,,,,,,0.02,0.029,-0.019
,-0.03,,,,,,,,0.019,0.029,-0.02
,-0.032,,,,,,,,0.017,0.03,-0.022
,-0.034,,,,,,,,0.015,0.03,-0.024
,-0.036,,,,,,,,0.014,0.028,-0.025
,-0.037,,,,,,,,0.014,0.026,-0.025
,-0.04,,,,,,,,0.014,0.024,-0.025
,-0.042,,,,,,,,0.014,0.024,-0.024
,-0.043,,,,,,,,0.014,0.024,-0.024
,-0.045,,,,,,,,0.015,0.025,-0.026
,-0.046,,,,,,,,0.015,0.025,-0.027
,-0.045,,,,,,,,0.014,0.024,-0.029
,-0.043,,,,,,,,0.013,0.024,-0.03
,-0.042,,,,,,,,0.011,0.025,-0.03
,-0.047,,,,,,,,0.01,0.024,-0.03
,-0.056,,,,,,,,0.009,0.022,-0.029
,-0.063,,,,,,,,0.009,0.02,-0.029
,-0.065,,,,,,,,0.01,0.019,-0.031
,-0.063,,,,,,,,0.01,0.019,-0.033
,-0.059,,,,,,,,0.009,0.02,-0.035
,-0.058,,,,,,,,0.007,0.021,-0.036
,-0.059,,,,,,,,0.006,0.02,-0.035
,-0.059,,,,,,,,0.005,0.018,-0.034
,-0.059,,,,,,,,0.004,0.016,-0.033
,-0.059,,,,,,,,0.004,0.015,-0.035
,-0.06,,,,,,,,0.004,0.014,-0.037
,-0.06,,,,,,,,0.004,0.014,-0.039
,-0.06,,,,,,,,0.005,0.014,-0.04
,-0.06,,,,,,,,0.005,0.014,-0.04
,-0.059,,,,,,,,0.004,0.015,-0.039
,-0.058,,,,,,,,0.003,0.015,-0.039
,-0.056,,,,,,,,0.001,0.015,-0.039
,-0.055,,,,,,,,0.0,0.014,-0.04
,-0.055,,,,,,,,-0.001,0.012,-0.042
,-0.055,,,,,,,,0.0,0.01,-0.044
,-0.054,,,,,,,,0.0,0.009,-0.045
,-0.054,,,,,,,,0.0,0.009,-0.044
,-0.055,,,,,,,,0.0,0.009,-0.045
,-0.056,,,,,,,,0.0,0.009,-0.045
,-0.055,,,,,,,,0.0,0.01,-0.044
,-0.053,,,,,,,,-0.001,0.011,-0.044
,-0.052,,,,,,,,-0.003,0.011,-0.045
,-0.055,,,,,,,,-0.005,0.009,-0.045
,-0.066,,,,,,,,-0.007,0.003,-0.045
,-0.079,,,,,,,,-0.008,-0.002,-0.047
,-0.09,,,,,,,,-0.011,-0.006,-0.054
,-0.096,,,,,,,,-0.013,-0.007,-0.065
,-0.099,,,,,,,,-0.014,-0.014,-0.074
,-0.103,,,,,,,,-0.015,-0.03,-0.08
,-0.11,,,,,,,,-0.016,-0.05,-0.085
,-0.12,,,,,,,,-0.022,-0.066,-0.094
,-0.132,,,,,,,,-0.037,-0.079,-0.107
,-0.147,,,,,,,,-0.061,-0.097,-0.123
,-0.164,,,,,,,,-0.097,-0.124,-0.138
,-0.179,,,,,,,,-0.14,-0.155,-0.152
,-0.186,,,,,,,,-0.182,-0.181,-0.161
,-0.185,,,,,,,,-0.219,-0.198,-0.165
,-0.181,,,,,,,,-0.25,-0.208,-0.165
,-0.177,,,,,,,,-0.284,-0.215,-0.164
,-0.176,,,,,,,,-0.317,-0.224,-0.164
,-0.174,,,,,,,,-0.351,-0.237,-0.165
,-0.171,,,,,,,,-0.383,-0.252,-0.164
,-0.169,,,,,,,,-0.417,-0.263,-0.164
,-0.172,,,,,,,,-0.453,-0.262,-0.167
,-0.175,,,,,,,,-0.485,-0.25,-0.169
,-0.169,,,,,,,,-0.505,-0.239,-0.163
,-0.15,,,,,,,,-0.508,-0.23,-0.145
,-0.123,,,,,,,,-0.5,-0.222,-0.118
